City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Hervey Bay,AU,80.01,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
198,Akyab,MM,74.59,few clouds,20.15,92.9,Hotel Memory
199,Sola,VU,89.6,light rain,-13.8833,167.55,Leumerus Bungalows
200,Mogadishu,SO,75.7,clear sky,2.0371,45.3438,Hotel Juba
201,Nicoya,CR,80.6,clear sky,10.1483,-85.45200000000001,Guayacan Real
205,Ahipara,NZ,72.05,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
207,Kudahuvadhoo,MV,82.17,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
208,Port Blair,IN,84.2,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
211,Matara,LK,76.17,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
214,Vanimo,PG,86.07,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
220,Codrington,AU,70.61,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
222,Mount Gambier,AU,75.2,overcast clouds,-37.8333,140.7667,Commodore on the Park
223,Gizo,SB,86.02,overcast clouds,-8.103,156.8419,Imagination Island
225,Cidreira,BR,71.78,overcast clouds,-30.1811,-50.2056,Hotel Castelo
228,Beira,MZ,78.8,light rain,-19.8436,34.8389,Beira Terrace Hotel
230,Tarakan,ID,87.8,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
231,Liwale,TZ,70.65,overcast clouds,-9.7667,37.9333,Samoma Lodge
233,Ballina,AU,80.6,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
236,Bintulu,MY,87.8,scattered clouds,3.1667,113.0333,900 Boutique INN
237,Kirakira,SB,80.22,overcast clouds,-10.4544,161.9205,SanBiz Lodge
238,Bambous Virieux,MU,81.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
242,Hithadhoo,MV,82.04,broken clouds,-0.6,73.0833,Scoop Guest House
244,Nsanje,MW,75.61,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
245,Kavaratti,IN,78.4,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
251,Kavieng,PG,85.5,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
252,Pringsewu,ID,82.17,overcast clouds,-5.3582,104.9744,Urban Style by Front One
254,Davila,PH,80.6,broken clouds,18.4726,120.5763,Blue Ridge Beach Resort
255,Sungaipenuh,ID,75.31,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
256,Patea,NZ,73.99,clear sky,-39.7583,174.4833,Patea Rest N Fresh
259,Manjacaze,MZ,75.13,light rain,-24.7117,33.8828,Hotel Gani
262,Pitimbu,BR,75.2,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
266,Benguela,AO,75.51,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
267,Makakilo City,US,78.8,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
268,Bonthe,SL,77.32,clear sky,7.5264,-12.505,Bonthe Holiday Village
270,Nisia Floresta,BR,77.0,broken clouds,-6.0911,-35.2086,Rancho Crepusculo
271,Butterworth,MY,86.0,few clouds,5.3991,100.3638,Cititel Penang
272,Sinnamary,GF,76.73,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
277,Gamboma,CG,72.7,light rain,-1.8764,15.8644,Residence N'Keni
279,Yendi,GH,71.46,clear sky,9.4427,-0.0099,Eyarro Lodge
286,Kundiawa,PG,76.78,moderate rain,-6.0167,144.9667,Kundiawa Hotel
291,Poya,NC,82.38,overcast clouds,-21.35,165.15,
295,Paracuru,BR,80.01,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
297,Grand Gaube,MU,81.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
298,Victor Harbor,AU,80.01,broken clouds,-35.5667,138.6167,McCracken Country Club
305,Nhulunbuy,AU,89.6,light rain,-12.2333,136.7667,East Arnhem Real Estate
307,Namibe,AO,71.15,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
308,Cap Malheureux,MU,81.0,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
312,Mangrol,IN,70.79,clear sky,21.1167,70.1167,Hotel The Royal Honours
