City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Muros,ES,2021-01-13 04:24:40,42.7762,-9.0603,30.99,100,16,3.56,fog
60,Saint George,US,2021-01-13 04:24:41,37.1041,-113.5841,37.99,30,1,1.95,clear sky
61,Georgetown,MY,2021-01-13 04:24:41,5.4112,100.3354,86.0,61,20,6.91,few clouds
62,Hobart,AU,2021-01-13 04:24:41,-42.8794,147.3294,84.0,41,75,13.8,broken clouds
63,Butaritari,KI,2021-01-13 04:24:41,3.0707,172.7902,81.23,80,96,19.1,light rain
64,Bluff,NZ,2021-01-13 04:24:41,-46.6,168.3333,62.11,77,8,10.42,clear sky
65,Chuy,UY,2021-01-13 04:24:42,-33.6971,-53.4616,59.49,68,2,6.33,clear sky
66,Xingyi,CN,2021-01-13 04:24:42,24.1877,102.817,49.87,65,37,2.1,scattered clouds
67,Lahijan,IR,2021-01-13 04:24:42,37.2061,50.0029,44.6,100,90,6.04,fog
68,Kahului,US,2021-01-13 04:24:43,20.8947,-156.47,78.8,65,20,3.44,few clouds
69,Payo,ID,2021-01-13 04:24:44,-3.7508,103.6372,80.04,79,100,6.02,moderate rain
70,Kutum,SD,2021-01-13 04:24:44,14.2,24.6667,51.96,46,0,4.9,clear sky
71,Perry,US,2021-01-13 04:23:08,37.2506,-83.1999,30.2,100,1,3.69,clear sky
72,Kruisfontein,ZA,2021-01-13 04:24:45,-34.0033,24.7314,68.0,93,100,4.0,overcast clouds
73,La Libertad,EC,2021-01-13 04:24:45,-2.2333,-80.9,75.2,82,85,12.21,overcast clouds
74,Eureka,US,2021-01-13 04:23:02,40.8021,-124.1637,61.0,86,100,10.0,overcast clouds
75,Khani,GE,2021-01-13 04:24:47,41.9563,42.9566,57.2,62,90,23.02,overcast clouds
76,Sao Filipe,CV,2021-01-13 04:24:47,14.8961,-24.4956,70.84,76,17,12.91,few clouds
77,Orsk,RU,2021-01-13 04:24:47,51.2049,58.5668,-14.8,76,75,2.24,broken clouds
78,La Ligua,CL,2021-01-13 04:24:47,-32.4524,-71.2311,48.42,78,0,0.98,clear sky
79,Berlevag,NO,2021-01-13 04:24:48,70.8578,29.0864,14.0,44,0,26.46,clear sky
80,Saldanha,ZA,2021-01-13 04:24:48,-33.0117,17.9442,59.0,82,0,3.44,clear sky
81,Venice,US,2021-01-13 04:24:48,27.0998,-82.4543,57.99,82,40,8.05,scattered clouds
82,Marawi,PH,2021-01-13 04:24:48,7.9986,124.2928,82.99,81,97,5.01,overcast clouds
83,Bombo,ID,2021-01-13 04:24:49,-8.6131,119.0131,89.22,62,20,4.0,few clouds
84,Samarai,PG,2021-01-13 04:24:49,-10.6167,150.6667,87.66,68,87,11.72,overcast clouds
85,Nikolskoye,RU,2021-01-13 04:24:49,59.7035,30.7861,7.0,85,90,20.13,snow
86,Samfya,ZM,2021-01-13 04:24:49,-11.3649,29.5565,64.15,96,100,1.28,light rain
87,Acarau,BR,2021-01-13 04:20:55,-2.8856,-40.12,77.23,84,74,9.13,broken clouds
88,Carnarvon,AU,2021-01-13 04:22:40,-24.8667,113.6333,82.4,61,0,17.27,clear sky
89,Barrow,US,2021-01-13 04:24:50,71.2906,-156.7887,-0.4,78,1,26.46,haze
90,Chokurdakh,RU,2021-01-13 04:24:50,70.6333,147.9167,-38.85,83,13,1.12,few clouds
91,Chincha Alta,PE,2021-01-13 04:24:51,-13.4099,-76.1323,69.8,78,100,2.3,overcast clouds
92,Sistranda,NO,2021-01-13 04:24:51,63.7256,8.834,28.4,64,20,16.11,few clouds
93,Tikrit,IQ,2021-01-13 04:24:51,34.6071,43.6782,50.95,48,0,2.1,clear sky
94,Namtsy,RU,2021-01-13 04:24:51,62.7161,129.6658,-54.4,58,100,2.68,fog
95,Narsaq,GL,2021-01-13 04:24:51,60.9167,-46.05,35.6,69,90,3.44,overcast clouds
96,Abakaliki,NG,2021-01-13 04:24:52,6.3163,8.1169,74.05,89,2,4.12,clear sky
97,Severo-Kurilsk,RU,2021-01-13 04:24:52,50.6789,156.125,20.12,87,72,2.77,broken clouds
98,Kodiak,US,2021-01-13 04:24:52,57.79,-152.4072,32.0,93,90,3.44,snow
99,Capellania,PA,2021-01-13 04:24:52,8.3,-80.55,74.75,88,100,8.21,overcast clouds
100,Lanzhou,CN,2021-01-13 04:24:52,36.0564,103.7922,39.99,38,0,2.82,clear sky
101,Isiolo,KE,2021-01-13 04:24:53,0.3546,37.5822,66.0,63,48,2.68,scattered clouds
102,Salinopolis,BR,2021-01-13 04:24:53,-0.6136,-47.3561,78.58,85,100,9.22,light rain
103,Port Hedland,AU,2021-01-13 04:24:53,-20.3167,118.5667,98.6,59,51,14.97,broken clouds
104,Vallenar,CL,2021-01-13 04:24:53,-28.5708,-70.7581,61.41,60,0,2.04,clear sky
105,Lompoc,US,2021-01-13 04:24:54,34.6391,-120.4579,53.01,93,1,3.44,clear sky
106,Busselton,AU,2021-01-13 04:24:54,-33.65,115.3333,75.99,42,4,5.01,clear sky
107,Alice Springs,AU,2021-01-13 04:24:33,-23.7,133.8833,100.4,17,0,10.36,clear sky
108,Arraial Do Cabo,BR,2021-01-13 04:21:25,-22.9661,-42.0278,75.79,85,32,23.91,scattered clouds
109,Sibolga,ID,2021-01-13 04:24:54,1.7427,98.7792,80.53,79,100,2.39,light rain
110,Caucaia,BR,2021-01-13 04:24:56,-3.7361,-38.6531,80.01,83,40,9.22,scattered clouds
111,Mandera,KE,2021-01-13 04:24:56,3.9366,41.867,73.81,32,25,7.36,scattered clouds
112,Qurayyat,SA,2021-01-13 04:24:56,31.3318,37.3428,41.0,60,0,11.5,clear sky
113,Guerrero Negro,MX,2021-01-13 04:24:56,27.9769,-114.0611,57.85,36,0,2.53,clear sky
114,Kamaishi,JP,2021-01-13 04:24:57,39.2667,141.8833,35.6,93,75,4.61,broken clouds
115,Moerai,PF,2021-01-13 04:24:57,-22.4333,-151.3333,80.26,75,1,17.02,clear sky
116,Ilulissat,GL,2021-01-13 04:24:57,69.2167,-51.1,21.2,79,75,2.3,broken clouds
117,Klaksvik,FO,2021-01-13 04:24:57,62.2266,-6.589,30.2,86,20,2.3,few clouds
118,New Norfolk,AU,2021-01-13 04:24:57,-42.7826,147.0587,84.0,29,20,1.99,few clouds
119,Saskylakh,RU,2021-01-13 04:24:58,71.9167,114.0833,-29.04,83,92,7.16,overcast clouds
120,Flin Flon,CA,2021-01-13 04:24:58,54.7682,-101.865,20.68,97,14,3.29,few clouds
121,Tuktoyaktuk,CA,2021-01-13 04:24:58,69.4541,-133.0374,-5.8,84,90,18.41,snow
122,Port Elizabeth,ZA,2021-01-13 04:21:40,-33.918,25.5701,69.8,88,90,6.91,overcast clouds
123,Wasilla,US,2021-01-13 04:20:12,61.5814,-149.4394,28.99,69,1,8.05,clear sky
124,Yar-Sale,RU,2021-01-13 04:24:59,66.8333,70.8333,5.77,91,88,15.23,overcast clouds
125,Lotofaga,WS,2021-01-13 04:24:59,-13.9764,-171.8578,86.0,84,75,9.22,light rain
126,Ust-Kuyga,RU,2021-01-13 04:25:00,70.0167,135.6,-43.24,73,19,3.42,few clouds
127,Dingle,PH,2021-01-13 04:25:00,10.9995,122.6711,78.89,79,100,12.77,overcast clouds
128,Hobyo,SO,2021-01-13 04:25:00,5.3505,48.5268,75.0,76,48,20.24,scattered clouds
129,Kawalu,ID,2021-01-13 04:25:01,-7.3817,108.2082,88.86,56,100,1.21,overcast clouds
130,Tasiilaq,GL,2021-01-13 04:25:02,65.6145,-37.6368,32.0,86,90,41.43,light snow
131,Padang,ID,2021-01-13 04:24:14,-0.9492,100.3543,84.2,70,40,3.44,scattered clouds
132,Okato,NZ,2021-01-13 04:25:02,-39.2,173.8833,72.0,74,21,7.0,few clouds
133,Mariel,CU,2021-01-13 04:25:03,22.9875,-82.7536,73.4,83,75,12.66,light rain
